CRS_DEP_TIME,DELAY_DEP_TIME,CARRIER,DEST,ORIGIN,WEATHER,DAY_WEEK,DAY_MONTH,FLIGHT_STATUS
15,0,OH,JFK,BWI,0,4,1,ontime
16,0,DH,JFK,DCA,0,4,1,ontime
12,0,DH,LGA,IAD,0,4,1,ontime
17,0,DH,LGA,IAD,0,4,1,ontime
10,0,DH,LGA,IAD,0,4,1,ontime
8,0,DH,JFK,IAD,0,4,1,ontime
12,1,DH,JFK,IAD,0,4,1,ontime
16,0,DH,JFK,IAD,0,4,1,ontime
17,0,DH,JFK,IAD,0,4,1,ontime
21,1,DH,JFK,IAD,0,4,1,ontime
21,0,DH,LGA,IAD,0,4,1,ontime
15,1,DL,JFK,DCA,0,4,1,ontime
9,1,DL,LGA,DCA,0,4,1,ontime
12,0,DL,LGA,DCA,0,4,1,ontime
14,0,DL,LGA,DCA,0,4,1,ontime
17,0,DL,LGA,DCA,0,4,1,ontime
20,0,DL,LGA,DCA,0,4,1,ontime
15,0,MQ,JFK,DCA,0,4,1,ontime
6,0,MQ,JFK,DCA,0,4,1,ontime
18,0,MQ,JFK,DCA,0,4,1,ontime
9,0,MQ,LGA,DCA,0,4,1,ontime
13,0,MQ,LGA,DCA,0,4,1,ontime
14,0,MQ,LGA,DCA,0,4,1,ontime
15,0,MQ,LGA,DCA,0,4,1,ontime
19,0,MQ,LGA,DCA,0,4,1,ontime
8,0,UA,LGA,IAD,0,4,1,ontime
9,0,US,LGA,DCA,0,4,1,ontime
11,0,US,LGA,DCA,0,4,1,ontime
13,0,US,LGA,DCA,0,4,1,ontime
15,0,US,LGA,DCA,0,4,1,ontime
17,0,US,LGA,DCA,0,4,1,ontime
21,0,US,LGA,DCA,0,4,1,ontime
15,0,RU,EWR,BWI,0,4,1,ontime
17,0,RU,EWR,BWI,0,4,1,ontime
10,0,RU,EWR,BWI,0,4,1,ontime
7,0,RU,EWR,BWI,0,4,1,ontime
13,0,CO,EWR,DCA,0,4,1,ontime
17,0,CO,EWR,DCA,0,4,1,ontime
8,0,DH,EWR,IAD,0,4,1,ontime
17,0,DH,EWR,IAD,0,4,1,ontime
12,0,DH,EWR,IAD,0,4,1,ontime
21,0,DH,EWR,IAD,0,4,1,ontime
17,0,RU,EWR,IAD,0,4,1,ontime
19,0,RU,EWR,IAD,0,4,1,ontime
15,0,RU,EWR,DCA,0,4,1,ontime
19,0,RU,EWR,DCA,0,4,1,ontime
